"Alias","Golfer 1","Golfer 2","Golfer 3","Golfer 4","Golfer 5"
"dsdsaili","RICKIE FOWLER","TIGER WOODS","BUBBA WATSON","ADAM SCOTT","COREY CONNERS"
"ryan.t.sc","DUSTIN JOHNSON","JON RAHM","BUBBA WATSON","ADAM SCOTT","JORDAN SPIETH"
"dsdsaili","JUSTIN ROSE","DUSTIN JOHNSON","TIGER WOODS","SERGIO GARCIA","JORDAN SPIETH"
"scott.wals","RORY MCILROY","JUSTIN ROSE","JORDAN SPIETH","TOMMY FLEETWOOD","IAN POULTER"
"scott.wals","RORY MCILROY","FRANCESCO MOLINARI","LOUIS OOSTHUIZEN","ADAM SCOTT","JORDAN SPIETH"
"nevinker","RORY MCILROY","BRYSON DECHAMBEAU","GARY WOODLAND","KEEGAN BRADLEY","CHARLEY HOFFMAN"
"rogerwaesc","JUSTIN ROSE","RICKIE FOWLER","PAUL CASEY","JORDAN SPIETH","HENRIK STENSON"
"jdccampbe","RORY MCILROY","JUSTIN ROSE","TOMMY FLEETWOOD","HIDEKI MATSUYAMA","MATTHEW FITZPATRICK"
"carter.trev","JUSTIN ROSE","JON RAHM","BUBBA WATSON","HIDEKI MATSUYAMA","CHARLEY HOFFMAN"
"katie.f.cart","RORY MCILROY","BROOKS KOEPKA","TIGER WOODS","JORDAN SPIETH","HIDEKI MATSUYAMA"
"katie.f.cart","DUSTIN JOHNSON","RICKIE FOWLER","PHIL MICKELSON","SERGIO GARCIA","ADAM SCOTT"
"katie.f.cart","JUSTIN THOMAS","BRYSON DECHAMBEAU","PATRICK REED","KEEGAN BRADLEY","JORDAN SPIETH"
"thomas.h.sc","RICKIE FOWLER","TOMMY FLEETWOOD","TONY FINAU","ADAM SCOTT","JORDAN SPIETH"
"william.byr","RORY MCILROY","JON RAHM","TOMMY FLEETWOOD","HIDEKI MATSUYAMA","JORDAN SPIETH"
"stevenjwhit","RORY MCILROY","DUSTIN JOHNSON","TOMMY FLEETWOOD","HIDEKI MATSUYAMA","KEITH MITCHELL"
"stevenjwhit","JUSTIN THOMAS","JUSTIN ROSE","PAUL CASEY","SERGIO GARCIA","MATTHEW FITZPATRICK"
"stevenjwhit","RICKIE FOWLER","FRANCESCO MOLINARI","TOMMY FLEETWOOD","CHARLEY HOFFMAN","HIDEKI MATSUYAMA"
"landon.routz","RORY MCILROY","JON RAHM","TIGER WOODS","JORDAN SPIETH","BILLY HORSCHEL"
"eliza.po","RICKIE FOWLER","JUSTIN THOMAS","BUBBA WATSON","CHARLES HOWELL III","HIDEKI MATSUYAMA"
"eliza.po","RICKIE FOWLER","TIGER WOODS","HIDEKI MATSUYAMA","BUBBA WATSON","BRANDT SNEDEKER"
"eliza.po","RICKIE FOWLER","MARC LEISHMAN","RORY MCILROY","CHARLES HOWELL III","CAMERON SMITH"
"whhaye","RORY MCILROY","DUSTIN JOHNSON","JORDAN SPIETH","TOMMY FLEETWOOD","HIDEKI MATSUYAMA"
"steph","DUSTIN JOHNSON","TIGER WOODS","MATT KUCHAR","KEEGAN BRADLEY","J.B. HOLMES"
"Ryan.gerr","TOMMY FLEETWOOD","XANDER SCHAUFFELE","FRANCESCO MOLINARI","JORDAN SPIETH","HIDEKI MATSUYAMA"
"ryan.gerr","PAUL CASEY","JUSTIN ROSE","RORY MCILROY","BRANDT SNEDEKER","HENRIK STENSON"
"jfris","JUSTIN ROSE","BROOKS KOEPKA","PAUL CASEY","HIDEKI MATSUYAMA","CHARLEY HOFFMAN"
"jfris","BROOKS KOEPKA","RICKIE FOWLER","MATT KUCHAR","RAFAEL CABRERA BELLO","HENRIK STENSON"
"matt.j.murph","RORY MCILROY","RICKIE FOWLER","TIGER WOODS","JORDAN SPIETH","HIDEKI MATSUYAMA"
"Murphyj","RORY MCILROY","DUSTIN JOHNSON","TONY FINAU","HIDEKI MATSUYAMA","IAN POULTER"
"wvyd","RICKIE FOWLER","RORY MCILROY","TIGER WOODS","HIDEKI MATSUYAMA","JORDAN SPIETH"
"pboleza","JUSTIN THOMAS","RORY MCILROY","TIGER WOODS","SERGIO GARCIA","ADAM SCOTT"
